all,,
one,,
silly,sillier,silliest
so-called,,
above,,
fat,fatter,
continuous,,
deaf,deafer,deafest
near,nearer,nearest
grateful,"gratefuller more","gratefullest most"
pretty,prettier,prettiest
overseas,,
evident,more,most
occasional,,
pleasant,"pleasanter more","pleasantest most"
universal,more,most
fellow,,
blind,blinder,blindest
classic,more,most
dirty,dirtier,dirtiest
sixth,,
equivalent,more,most
square,squarer,squarest
loose,looser,loosest
mean,meaner,meanest
creative,more,most
medieval,more,most
level,leveller,levellest
ultimate,,
linguistic,,
steady,steadier,steadiest
intellectual,more,most
desperate,more,most
judicial,more,most
revolutionary,more,most
vulnerable,more,most
imperial,more,most
illegal,more,most
raw,rawer,rawest
flexible,more,most
outer,outermore,outermost
informal,more,most
gross,"grosser more","grossest most"
bitter,"bitterer more","bitterest most"
experimental,more,most
collective,,
frequent,"more frequenter","most frequentest"
ethnic,more,most
spiritual,more,most
intense,"intenser more","intensest most"
historic,more,most
rational,more,most
inadequate,more,most
acute,"acuter more","acutest most"
prominent,more,most
logical,more,most
valid,more,most
weekly,,
generous,more,most
electrical,more,most
random,more,most
modest,"more modester","most modestest"
tight,tighter,tightest
automatic,,
asleep,more,most
clever,"cleverer more","cleverest most"
liable,more,most
mutual,more,most
multiple,,
reliable,more,most
sole,,
nearby,more,most
satisfactory,more,most
marginal,more,
identical,more,most
exact,more,most
electoral,,
distinctive,more,most
oral,,
bare,barer,barest
presidential,more,most
controversial,more,most
organic,more,most
pregnant,more,most
curious,"curiouser more","curiousest most"
statistical,more,most
urgent,more,most
desirable,more,most
gastric,,
exclusive,more,most
everyday,,
superb,superber,superbest
full-time,,
strict,stricter,strictest
unexpected,more,most
sheer,"sheerer more","sheerest most"
innocent,more,most
eighteenth,,
marine,more,most
romantic,more,most
retail,,
artificial,more,most
institutional,more,most
magnificent,more,most
biological,,
diplomatic,more,most
convenient,more,most
tremendous,more,most
capitalist,more,most
functional,more,most
mechanical,more,most
reluctant,more,most
straightforward,more,most
uncertain,more,most
digital,,
spectacular,more,most
aggressive,more,most
part-time,,
naked,more,most
wise,"wiser more","wisest most"
unfair,unfairer,unfairest
superior,,
monthly,more,most
legislative,more,most
spare,sparer,sparest
explicit,more,most
comparable,more,most
painful,"painfuller more","painfullest most"
abstract,"more abstracter","most abstractest"
successive,,
realistic,more,most
intelligent,"more intelligenter","most intelligentest"
unhappy,unhappier,unhappiest
working-class,more,most
genetic,,
twentieth,,
unnecessary,more,most
influential,more,most
just,"juster more","justest most"
hungry,hungrier,hungriest
intensive,more,most
tropical,more,most
giant,,
ridiculous,more,most
parallel,,
subtle,"subtler more","subtlest most"
secure,"securer more","securest most"
decent,more,most
back,more,most
bottom,,
marvellous,more,most
preliminary,,
partial,more,most
lesser,,
occupational,,
assistant,,
vertical,more,most
progressive,more,most
continental,more,most
excessive,more,most
exceptional,more,most
nasty,nastier,nastiest
elegant,more,most
casual,more,most
concrete,more,most
okay,more,most
crazy,crazier,craziest
interim,,
compulsory,more,most
short-term,shorter-term,shortest-term
chronic,more,most
payable,more,most
systematic,more,most
objective,more,most
characteristic,more,most
damp,damper,dampest
delicate,more,most
dull,duller,dullest
magic,,
lonely,lonelier,loneliest
upset,more,most
premier,,
metropolitan,more,most
fun,"more funner","most funnest"
splendid,"splendider more","splendidest most"
operational,more,most
advisory,more,most
primitive,more,most
ideological,more,most
technological,more,most
neat,neater,neatest
contrary,more,most
accessible,more,most
adjacent,,
hostile,more,most
brave,braver,bravest
provincial,more,most
gay,gayer,gayest
peaceful,"peacefuller peacefuler more",
horrible,"horribler more","horriblest most"
post-war,,
geographical,more,most
dynamic,more,most
super,,
forthcoming,more,most
indirect,more,most
handsome,"more handsomer","most handsomest"
precious,more,most
notable,more,most
like,more,
definite,more,most
unfortunate,more,most
artistic,more,most
neutral,more,most
magnetic,more,most
endless,,
fierce,fiercer,fiercest
mild,milder,mildest
loud,louder,loudest
ambitious,"ambitiouser more","ambitiousest most"
verbal,,
mature,"maturer more","maturest most"
legitimate,more,most
well-known,"better-known more","best-known most"
steep,steeper,steepest
awkward,"awkwarder more","awkwardest most"
content,"more contenter","most contentest"
empirical,,
harsh,harsher,harshest
sympathetic,more,most
colonial,more,most
head,,
evil,"eviller eviler more",
naval,,
favourable,more,most
worthwhile,more,most
mid,,
seventh,,
absent,absenter,absentest
zero,,
vague,vaguer,vaguest
racial,more,most
representative,more,most
faint,fainter,faintest
lively,livelier,liveliest
coastal,more,most
enthusiastic,more,most
feminist,more,most
smart,"smarter more","smartest most"
rigid,"rigider more","rigidest most"
applicable,more,most
profound,more,most
immense,immenser,
comparative,more,most
peculiar,more,most
beneficial,more,most
minimal,more,most
stiff,stiffer,stiffest
mobile,more,most
dreadful,more,most
productive,more,most
shallow,shallower,shallowest
passive,more,most
eager,eagerer,eagerest
symbolic,more,most
moderate,more,most
fatal,,
compact,more,most
profitable,more,most
rival,,
molecular,,
managerial,more,most
irrelevant,more,most
rear,"rearer more","rearest most"
interior,,
patient,"patienter more","patientest most"
orange,"oranger more","orangest most"
linear,more,most
insufficient,more,most
eligible,more,most
uncomfortable,more,most
loyal,"er loyaller","loyalest loyallest"
wealthy,"wealthier more","wealthiest most"
prospective,,
parental,more,most
fiscal,more,most
middle-class,more,most
semantic,,
blank,"blanker more","blankest most"
cruel,"crueler crueller more",
diverse,more,most
noble,more,most
variable,more,most
inherent,,
crude,cruder,crudest
suspicious,more,most
ugly,uglier,ugliest
selective,more,most
elaborate,more,most
intermediate,more,most
mysterious,more,most
philosophical,more,most
kind,kinder,kindest
deliberate,more,most
tender,tenderer,tenderest
fortunate,more,most
furious,more,most
protective,more,most
eighth,,
useless,"uselesser more","uselessest most"
sacred,"more sacreder","most sacredest"
liquid,more,most
worthy,worthier,worthiest
solar,,
unpleasant,"unpleasanter more","unpleasantest most"
mathematical,more,most
defensive,more,most
architectural,more,most
inappropriate,more,most
manual,more,most
circular,more,most
persistent,more,most
divine,more,most
spatial,,
unacceptable,more,most
toxic,more,most
competent,more,most
